graph,n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
Grid,20,7,Fixed,7.706268791136282,1.1490637642590529,0.8947368421052632,0.06716772896952872,2.866468236534195,3,0.584295415959253,22,1.802898035772041
Grid,20,7,Uniform,7.959839892126166,0.7163581384727069,1.0,0.4299052224907418,3.4083468355953825,12,0.3843661971830985,31,1.8622215361966619
Grid,20,8,Fixed,9.673221190670137,1.0583861391720237,0.8999999999999998,0.07130743208141622,2.9986624480424067,6,0.5957657657657658,25,2.299372469966418
Grid,20,8,Uniform,7.519171341978784,0.7127133954062361,0.9973684210526315,0.3579325437438723,3.4178069619492573,12,0.3814814814814813,31,1.78734417831592
Grid,20,9,Fixed,7.687894241717978,1.305426853945815,0.8947368421052632,0.06400815701263021,2.8718123845936856,3,0.559731543624161,22,1.8059256497313403
Grid,20,9,Uniform,8.156676444633753,0.7111704287334442,1.0,0.44209401475614774,3.442659245336087,13,0.4304034582132563,32,1.9160449851130894
Grid,20,10,Fixed,9.67939892571687,1.0594891990598103,0.9078947368421051,0.08101405277102418,2.9969440372155125,6,0.5769598470363286,25,2.3222023574851702
Grid,20,10,Uniform,7.633880424759422,0.7472388515479531,1.0,0.39556080551665584,3.3704176924932767,11,0.42766233766233785,30,1.8314582604955818
Grid,20,11,Fixed,7.645895630960769,1.02649189762706,0.9105263157894736,0.08583249199932592,2.8639837558288543,3,0.6178362573099414,22,1.8340397755096511
Grid,20,11,Uniform,8.224508847210178,0.7136494247568688,1.0,0.45299344689980187,3.433708293529065,13,0.4494609164420489,32,1.9728331496880576
Grid,20,12,Fixed,8.43412397987714,1.4047010816595467,0.8763157894736843,0.04803951098599046,2.8548518017857556,3,0.548433048433048,22,2.0315510670601293
Grid,20,12,Uniform,7.559149702336712,0.7066186920461933,1.0,0.3955918692485823,3.41468199791618,12,0.43895027624309413,31,1.8207935620212579
Grid,20,13,Fixed,6.3188344558312295,1.170094403793389,0.8631578947368421,0.04823617140291683,2.75364109766862,1,0.5125170998632009,20,1.4973491229336848
Grid,20,13,Uniform,7.596095373102411,0.7071501505382723,1.0,0.39915835678902317,3.415181003773756,12,0.3671270718232045,31,1.800016573331686
Grid,20,14,Fixed,7.586886757153105,1.3693857467162083,0.8526315789473685,0.04260606125655149,2.8667866385636454,3,0.5217678100263852,22,1.8086629481543441
Grid,20,14,Uniform,7.411195456447427,0.7428861673662559,1.0,0.3332163823472602,3.3829799271373764,11,0.4110126582278477,30,1.7667793197214028
Grid,20,15,Fixed,7.559756126924579,1.1532848054031721,0.9026315789473685,0.08322312539117403,2.8925925678917355,3,0.5450354609929078,22,1.7706337045133462
Grid,20,15,Uniform,8.055954495517168,0.7290328560120026,1.0,0.36719610883549814,3.447406079323626,13,0.42507002801120475,32,1.8868524741143171
Grid,20,16,Fixed,7.700664481998403,1.0737943068446392,0.8973684210526317,0.07658849099662825,2.867006042403667,3,0.5884057971014491,22,1.8186409648537576
Grid,20,16,Uniform,8.045877863757493,0.7405934038668168,1.0,0.4299769549565089,3.4040559439181215,12,0.4057103064066854,31,1.9001688900283207
Grid,20,17,Fixed,6.2898834027462325,1.430152002991838,0.8657894736842104,0.05357587132195926,2.7511900321417606,1,0.5069832402234635,20,1.501566977483609
Grid,20,17,Uniform,7.495784451155759,0.7157831520029487,1.0,0.3926542059596685,3.379760477434829,11,0.4872928176795579,30,1.789448497133722
Grid,20,18,Fixed,9.76559647746071,1.2455418072422886,0.8921052631578948,0.06499529233104077,2.998400438311266,6,0.483653846153846,25,2.303032992564175
Grid,20,18,Uniform,7.941493677876053,0.7396490758524864,1.0,0.36626664514077234,3.4074724909293703,12,0.4290190735694823,31,1.8728525177751434
Grid,20,19,Fixed,7.635808583566278,1.429719518609068,0.8631578947368421,0.047124444620324696,2.866539978070846,3,0.5295804195804192,22,1.8153343734846106
Grid,20,19,Uniform,8.429467252238956,0.7190116024502714,1.0,0.43920650540204836,3.432072725168556,13,0.3939226519337016,32,2.004018498589099
Grid,20,20,Fixed,9.584413250706392,1.0968189518536247,0.8894736842105264,0.06561176653090361,3.001224400758338,6,0.5928327645051195,25,2.2954508722060813
Grid,20,20,Uniform,8.521536420012458,0.691810885016929,1.0,0.4792183991843706,3.467974836070619,14,0.47844311377245496,33,2.0408936568351552
Grid,20,21,Fixed,7.605216436600407,0.9286837937552289,0.913157894736842,0.11181912982239955,2.8606711600117607,3,0.6269874476987449,22,1.830788926707113
Grid,20,21,Uniform,7.956110855588433,0.6839472208607137,1.0,0.4090331644567804,3.4454600105512476,13,0.4505797101449276,32,1.9152590561349834
Grid,20,22,Fixed,8.123754670490088,1.2083621129620454,0.9,0.07172596191540839,2.882270559709901,3,0.5815236427320492,22,1.8654668820248934
Grid,20,22,Uniform,9.789649162803263,0.6778627381402086,1.0,0.604093570771178,3.551876255746497,17,0.424763406940063,36,2.248008099775678
Grid,20,23,Fixed,9.674410758771074,1.1983731996281985,0.8789473684210526,0.05454149327804504,2.990983021105923,6,0.5900943396226412,25,2.342107108819243
Grid,20,23,Uniform,7.610673457245088,0.7038610405145564,1.0,0.4620203843004739,3.401842601056267,12,0.48839779005524875,31,1.8424907574815366
Grid,20,24,Fixed,8.097362526418236,1.1776815983738733,0.9105263157894736,0.08601302884048022,2.9405864005839555,4,0.5029837251356237,23,1.9947645252245854
Grid,20,24,Uniform,8.18543310718582,0.6718903676610961,1.0,0.43982598902125314,3.474628758748031,14,0.4254545454545453,33,2.016460487293461
Grid,20,25,Fixed,7.93074562835067,1.250153488202327,0.8710526315789474,0.04886108958884841,2.8643226042372794,3,0.518695652173913,22,1.825336892361547
Grid,20,25,Uniform,8.71524751104772,0.7105987717228401,1.0,0.4609626028654904,3.4653257084067564,14,0.39651162790697647,33,2.0058974973436308
