n,trial,method,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,12,MST,2.945227303487957,0.7482428182915936,0.8763157894736843,0.06411876851873824,2.8419276678759737,0,0.5307069219440355,19,1.0
20,12,kNN,7.369115952206411,0.6510486919038918,0.9763157894736842,0.15521538036061697,3.5337382017005297,19,0.6711796246648796,38,2.5020533876890783
20,12,RGG,6.6224439269405355,0.6970147248748289,0.9236842105263159,0.12316482983997715,3.5328195192029765,18,0.7425000000000002,37,2.2485340669963727
20,12,Physarum,9.01476677577485,0.972031056718778,0.9078947368421051,0.07727903383386658,3.0156209204440363,9,0.5446619217081852,28,3.060805108352382
20,13,MST,2.967368558146317,0.7809555968838139,0.868421052631579,0.06013266869298234,2.7369602584329873,0,0.5323943661971828,19,1.0
20,13,kNN,8.136257909921708,0.6672613730911445,0.9921052631578947,0.27433731101576997,3.4781579459354783,19,0.6195431472081219,38,2.7419101303022297
20,13,RGG,7.577710428741901,0.7373748374944247,0.9421052631578947,0.11223150338585408,3.540203534102803,20,0.7312169312169314,39,2.553680232251168
20,13,Physarum,5.569748787166614,1.0726201005703875,0.8289473684210525,0.035153019167945145,2.663961960606121,2,0.47806183115338907,21,1.87699932719041
20,14,MST,3.140778071792788,0.9497535488565723,0.8263157894736842,0.03613116128354188,2.843135227188432,0,0.4712616822429905,19,1.0
20,14,kNN,7.290903137038722,0.7371417544759162,0.9289473684210525,0.09390517639684628,3.5137561373478694,18,0.680607966457023,37,2.3213684540522155
20,14,RGG,6.7346861910713836,0.6026535330135707,0.9921052631578947,0.27621459235058976,3.5030747090236725,17,0.5165738161559887,36,2.144273182354192
20,14,Physarum,6.830257209277395,1.1176833557510775,0.881578947368421,0.05504658979859109,2.792153088469602,4,0.49947994056463596,23,2.1747022722234606
20,15,MST,2.82880662014546,0.746621208467581,0.8526315789473685,0.043638235620463275,2.836279213899688,0,0.5394594594594595,19,1.0
20,15,kNN,7.665121661970646,0.6989315048778358,0.9263157894736841,0.0808245784661662,3.5442835787441194,19,0.7047368421052631,38,2.709666191878644
20,15,RGG,8.123482203052701,0.6671394047351495,0.9815789473684211,0.19903085777999874,3.6396196033143453,22,0.652156334231806,41,2.87169937499474
20,15,Physarum,7.293860569033832,0.9681949737823872,0.9078947368421053,0.06547819790361009,2.769647143076235,4,0.5173986486486482,23,2.578423182797407
20,16,MST,3.4239971497779247,1.145994724838439,0.8263157894736842,0.03520922728646934,2.7204350479602906,0,0.48912529550827455,19,1.0
20,16,kNN,8.500987939644876,0.8356194759262857,0.9421052631578947,0.10304410225255844,3.443581776299978,17,0.7210144927536233,36,2.482767236005508
20,16,RGG,5.361569592550074,1.1357451265769387,0.8631578947368423,0.046481275676041045,3.1336410493178244,8,0.5632127955493742,27,1.5658802732641928
20,16,Physarum,9.494300756087288,1.161860098625549,0.8921052631578948,0.06259049162765686,2.8292457680972913,6,0.6365619546247818,25,2.772870519679923
20,17,MST,3.0160370981889515,0.8357785840089119,0.8578947368421052,0.050862722129449645,2.825088401676594,0,0.48324607329842895,19,1.0
