n,trial,demand,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,22,HubSpoke,6.704526339567321,0.6119477948689572,0.9973684210526315,0.30047945010240995,3.264659553077708,11,0.38192612137203197,30,2.1440091770510437
20,23,Fixed,5.22824093165495,0.9095085031852145,0.8842105263157893,0.06403342788009567,2.6046508290759625,2,0.5503086419753087,21,1.835406802580607
20,23,Uniform,6.6367944562895875,0.5560358577258233,1.0,0.3599742900531349,3.32364540800675,13,0.3722535211267606,32,2.3298883604714296
20,23,HubSpoke,4.886311440620456,0.624050135863339,0.994736842105263,0.19579547313790474,3.05741760643459,6,0.4433333333333336,25,1.7153703080786253
20,24,Fixed,7.5953156131131765,1.077743954164264,0.8473684210526315,0.03599940162785949,2.761375480440584,4,0.4817904993909863,23,2.427934658717233
20,24,Uniform,6.233370582542822,0.5822783118888957,1.0,0.30246284492782366,3.2493170383395458,11,0.41172248803827705,30,1.9925724287026587
20,24,HubSpoke,5.168102585686493,0.5998277777363068,0.9842105263157894,0.2717092447067605,3.1462316509819632,8,0.4718181818181817,27,1.6520466069811248
20,25,Fixed,8.117566499228262,1.1997498688208725,0.8894736842105262,0.06278261178166557,2.8177495204242153,4,0.6315929203539821,23,2.7939907112290516
20,25,Uniform,6.607245831192065,0.6072634881763993,1.0,0.2435122631657033,3.2639228896620645,12,0.4739651416122006,31,2.274152417588763
20,25,HubSpoke,4.931082011007623,0.6652305152186633,0.9947368421052631,0.1839957608298636,2.9871740361599883,5,0.5015274949083501,24,1.6972324570884376
20,26,Fixed,7.752526551326632,1.153396954864403,0.8999999999999998,0.06770850583760023,2.8087441977820293,4,0.44354330708661394,23,2.470746303390743
20,26,Uniform,7.73352171644149,0.6097675748773885,1.0,0.41726003664882205,3.378636411546375,14,0.45244565217391264,33,2.464689423065582
20,26,HubSpoke,5.922574299291369,0.6912186368471053,0.9657894736842104,0.2308319597306319,3.163644304711573,8,0.5630790190735697,27,1.8875367223382296
20,27,Fixed,6.331503457442748,0.9729248527118205,0.9026315789473683,0.06929216247299266,2.771781454931283,3,0.5642857142857141,22,2.089791315490265
20,27,Uniform,5.678868148957005,0.5213825202478666,1.0,0.3164959512143136,3.215689728718727,10,0.4409090909090907,29,1.8743809301018517
20,27,HubSpoke,4.576224912701905,0.5622331436722121,0.9842105263157894,0.18249461271158643,3.005805871896464,5,0.6264044943820228,24,1.5104398417492475
20,28,Fixed,6.790421260774462,1.181767767969355,0.8342105263157895,0.0370889419148588,2.8091963749476716,3,0.4985642946317108,22,1.8027271693070561
20,28,Uniform,7.699599446660348,0.6293822522739188,1.0,0.4052987618738999,3.389198770217493,13,0.4374285714285713,32,2.0440966152508055
20,28,HubSpoke,6.518439460565072,0.6619268539500155,1.0,0.3693510620830162,3.2539772313487223,9,0.43677685950413214,28,1.7305211953379847
20,29,Fixed,8.359395338644795,0.8299778258560898,0.9105263157894736,0.07863445393500633,2.8797128267808225,7,0.5888257575757578,26,3.049820033529311
20,29,Uniform,6.819449493707767,0.5771114268437992,0.9973684210526315,0.33599927759158477,3.325588894900098,14,0.5037634408602147,33,2.4879902003681287
20,29,HubSpoke,4.970655231979646,0.6491230479107561,0.9605263157894735,0.17213144666452324,3.010210774384799,6,0.5926395939086293,25,1.8134809148428728
50,0,Fixed,9.262207630725417,1.549074222574975,0.9008163265306122,0.01164147982610163,3.3134693028312787,1,0.5912961941533372,50,1.8708030648811984
50,0,Uniform,7.184228801358954,0.7114935571098718,0.9951020408163265,0.05521967973318199,3.919636924956337,10,0.4176927710843368,59,1.4510878827424285
50,0,HubSpoke,6.590843388785679,0.7774499228924464,0.9657142857142857,0.029345158960462386,3.8550403458163314,6,0.5300281162136835,55,1.331234464123812
50,1,Fixed,10.097129280705097,1.610966030386302,0.9216326530612244,0.019965393761113438,3.3711908399045507,2,0.5574154966198648,51,2.0874013643718663
50,1,Uniform,8.760950273945884,0.6958499738244894,0.9963265306122449,0.07766168752313155,4.0704661090841725,19,0.4063937007874021,68,1.8111701897266055
50,1,HubSpoke,6.340937210099137,0.8838512322436719,0.9457142857142855,0.02759228635175317,3.782319853342907,3,0.5495007648449453,52,1.310875657405961
50,2,Fixed,8.620698928307801,1.6985970115736262,0.9204081632653061,0.01896937693282168,3.3523124830007527,0,0.5863569302445968,49,2.0383770726485975
50,2,Uniform,6.734603582329515,0.5869059796378732,0.9934693877551021,0.0691379306963001,3.9691699757179384,16,0.42359339704604726,65,1.5924070252030322
50,2,HubSpoke,5.237410031947949,0.7057712602999986,0.9444897959183673,0.030157944137573327,3.67972685937536,2,0.5864840320871807,51,1.2383933852655802
50,3,Fixed,13.447707168021376,1.0061368362982204,0.9187755102040814,0.017872257654775767,3.4698230010979945,8,0.6150350810052301,57,2.942866096682879
50,3,Uniform,7.251894434247723,0.6277819310144942,0.9938775510204081,0.0744771089891543,3.999394169911279,14,0.4261881103306493,63,1.5869883245242427
50,3,HubSpoke,5.792983234432411,0.7558859109280415,0.9375510204081634,0.020722226732714455,3.8447002673980606,5,0.5986131586131587,54,1.267723467373198
50,4,Fixed,11.055513663107106,1.4192271165512362,0.9085714285714285,0.013240897001399526,3.3918128374044354,4,0.5942158005127012,53,2.271850782003943
50,4,Uniform,8.081114561632253,0.6332473318263362,0.9979591836734695,0.10218452254004219,4.016827583554932,15,0.37230686115613176,64,1.6606271762453721
50,4,HubSpoke,6.959537293672044,0.7990002248137715,0.9481632653061225,0.03418684525373687,3.8178687055699436,5,0.5791606133979015,54,1.4301488582820687
