T,demand,trial,steiner_ratio,algebraic_connectivity,cyclomatic_number
1600,Fixed,23,1.3540381598481201,0.00015224652909557167,0
1600,Uniform,23,1.323530217998122,0.000663288362328108,10
1600,Fixed,24,1.8660169775883233,0.0002222889568976739,3
1600,Uniform,24,1.2241661871206133,0.00016524965294924796,5
1600,Fixed,25,1.97040150618742,0.0003223583668057491,2
1600,Uniform,25,1.2405360092734778,0.0004550770772636124,10
1600,Fixed,26,1.770676277467836,0.00010381307533834451,2
1600,Uniform,26,1.4324104459404319,0.001055532773684815,12
1600,Fixed,27,1.549107158018842,0.00015324687331504577,1
1600,Uniform,27,1.3448434892424668,0.0004404504557902568,7
1600,Fixed,28,1.3679980630196082,0.00015673915683580246,0
1600,Uniform,28,1.2997475375372747,0.0007852375991424968,10
1600,Fixed,29,1.3864117974760664,0.00022194108811834665,0
1600,Uniform,29,1.2286760712142226,0.00042760453794148893,9
