n,k,ep_return,rl_cost,rl_steiner_ratio,rl_algebraic_connectivity,rl_robustness,rl_efficiency,rl_n,rl_k,std_cost,std_efficiency,std_robustness,std_algebraic_connectivity,std_network_entropy,std_cyclomatic_number,std_betweenness_gini,std_num_edges,std_steiner_ratio
50,5,0.7605418271224904,281.1009328204478,60.20583627991367,10.000000000000188,1.0,0.5191545072250858,50,5,11.52913944471582,0.7216486084554529,0.9771428571428572,0.06601215170102642,3.9806876576427768,20,0.6629649840836747,69,2.4692962591491048
50,1,0.8249396042426798,131.72212437955451,26.824652740654585,2.0000000000000293,1.0,0.9671218660014902,50,1,11.906957423815031,1.3136991577847956,0.9183673469387754,0.014382372749009043,3.422620460674283,5,0.6068032479700187,54,2.424801449233031
50,2,0.15395082987598258,176.51172744745688,36.85780553518553,4.000000000000094,1.0,0.6307416413150062,50,2,6.778402783089931,0.8755058236593677,0.9191836734693877,0.015852634976569396,3.6732876581546794,4,0.5908923821039902,53,1.4154133282314585
50,1,0.7011315301401457,137.8296018045642,28.47629920482203,2.000000000000181,1.0,0.8520653071329425,50,1,5.692677410317192,1.0313313287964379,0.8755102040816327,0.009597929449322149,3.726546660980922,0,0.5678764989141722,49,1.176136207972094
50,1,0.6555543389604965,151.07029860257367,31.528580220298924,3.0000000000001625,1.0,0.8690979434464535,50,1,6.064054041499786,1.3053172676768603,0.8677551020408163,0.007884050225338148,3.694513611876519,0,0.5650986695240643,49,1.2655764639125215
20,2,0.8578147480858629,39.23005205524547,12.671259003255788,2.000000000000008,1.0,0.6010427858908718,20,2,3.3203772054889082,0.8202109956051855,0.8947368421052632,0.07988626232229767,2.8038054875038907,0,0.6030612244897959,19,1.072477790751006
50,2,0.7727823245362896,274.77352853892427,62.87413151704318,6.000000000000053,1.0,0.635460648370526,50,2,12.159611592591627,1.020038508357157,0.9318367346938775,0.01648396786064018,3.638884974287326,11,0.629485420240137,60,2.782382358788491
20,2,0.2061589571053742,94.20845495971895,31.637890764586274,12.000000000000016,1.0,0.5545409482103287,20,2,9.737876576498868,0.7869994063889887,0.9526315789473683,0.13303052775129495,3.0833568012930526,10,0.6044776119402984,29,3.2702571710577772
50,1,0.669865716619412,159.94092603136602,33.98703251474932,3.0000000000000697,1.0,0.8162768876797327,50,1,10.0240273371197,1.417115468559856,0.9257142857142857,0.01555944046679464,3.5293689888820445,2,0.647773605150215,51,2.1300798456588352
50,3,1.4201779857835841,200.58437233892232,38.3253664046021,5.000000000000127,1.0,0.6994059338941128,50,3,11.973441697080384,0.9399744898550247,0.9404081632653059,0.019472684540901973,3.8633629231991415,14,0.6284963072378142,63,2.2877482169417345
