trial,train,eval,routing_cost
16,fixed,uniform,1.6382241880880262
16,fixed,hubspoke,1.5192691256245061
16,uniform,fixed,1.5935126436381912
16,uniform,uniform,0.6688357543506417
16,uniform,hubspoke,0.5260575556023019
16,hubspoke,fixed,1.7320687819391147
16,hubspoke,uniform,0.9196133622308866
16,hubspoke,hubspoke,0.5688352534080088
17,fixed,fixed,1.2410330083116448
17,fixed,uniform,1.5221069183936466
17,fixed,hubspoke,1.6742307549930249
17,uniform,fixed,1.5897267282920717
17,uniform,uniform,0.6675829514877484
17,uniform,hubspoke,0.5066891975346935
17,hubspoke,fixed,1.6311529427438964
17,hubspoke,uniform,0.9231613688740331
17,hubspoke,hubspoke,0.583277018711079
18,fixed,fixed,1.1505010191081027
18,fixed,uniform,1.2579388298027359
18,fixed,hubspoke,1.0784884602644
18,uniform,fixed,1.3635687723884975
18,uniform,uniform,0.6424695293873155
18,uniform,hubspoke,0.48950812009574424
18,hubspoke,fixed,1.382126374886762
18,hubspoke,uniform,0.740197028730414
18,hubspoke,hubspoke,0.4357889071890344
19,fixed,fixed,1.1668757599945878
19,fixed,uniform,1.3853479095853118
19,fixed,hubspoke,1.2267992006562491
19,uniform,fixed,1.5027189118842152
19,uniform,uniform,0.6492916822840965
19,uniform,hubspoke,0.5372357974027963
19,hubspoke,fixed,1.6187751938049704
19,hubspoke,uniform,0.8528096899586148
19,hubspoke,hubspoke,0.6019662753991978
20,fixed,fixed,1.1552666896869364
20,fixed,uniform,1.2290266178054994
20,fixed,hubspoke,1.1438212152604488
20,uniform,fixed,1.5074548668253585
20,uniform,uniform,0.634949947316893
20,uniform,hubspoke,0.5086271281836532
20,hubspoke,fixed,1.7354017803276813
20,hubspoke,uniform,0.771270726827717
20,hubspoke,hubspoke,0.47484042687543593
21,fixed,fixed,1.209701909985192
21,fixed,uniform,1.3584001425314207
21,fixed,hubspoke,0.9697763992574711
21,uniform,fixed,1.4448384753455177
21,uniform,uniform,0.6589888149093152
21,uniform,hubspoke,0.5051502478681074
21,hubspoke,fixed,1.4953472093449933
21,hubspoke,uniform,0.7475243137124514
21,hubspoke,hubspoke,0.4728062538085912
22,fixed,fixed,1.2964581505790393
22,fixed,uniform,1.394379974501434
22,fixed,hubspoke,1.110894538040279
22,uniform,fixed,1.4086736186147268
22,uniform,uniform,0.6203059753973661
22,uniform,hubspoke,0.46492296024036767
22,hubspoke,fixed,1.4549697270759927
22,hubspoke,uniform,0.8471497178114857
22,hubspoke,hubspoke,0.4975622210797967
23,fixed,fixed,1.2786419717164366
23,fixed,uniform,1.3379642339975628
23,fixed,hubspoke,0.9973249583042999
23,uniform,fixed,1.412080264102311
23,uniform,uniform,0.6340090864791078
23,uniform,hubspoke,0.47847502171979733
23,hubspoke,fixed,1.5168827538425582
23,hubspoke,uniform,0.8084619565061898
23,hubspoke,hubspoke,0.4704588676686353
24,fixed,fixed,1.3190004849116497
24,fixed,uniform,1.3577747165373935
24,fixed,hubspoke,1.2437965056596978
24,uniform,fixed,1.5614068490872974
24,uniform,uniform,0.6991808792024271
24,uniform,hubspoke,0.5847209097558955
24,hubspoke,fixed,1.6255155286933087
24,hubspoke,uniform,0.8964902202343997
24,hubspoke,hubspoke,0.5689171543495399
25,fixed,fixed,1.2362768064328795
25,fixed,uniform,1.4557906968755305
25,fixed,hubspoke,1.3603804280830702
25,uniform,fixed,1.6108671580585618
25,uniform,uniform,0.6631872829283662
25,uniform,hubspoke,0.4870046908513486
25,hubspoke,fixed,1.9256100615796956
25,hubspoke,uniform,0.8952896151763202
25,hubspoke,hubspoke,0.5382389940084826
26,fixed,fixed,1.1247021468086817
26,fixed,uniform,1.1607780907204426
26,fixed,hubspoke,1.2118348897370717
26,uniform,fixed,1.3740784354091984
26,uniform,uniform,0.5967707435183013
26,uniform,hubspoke,0.5121958710107818
26,hubspoke,fixed,1.8137488979846683
26,hubspoke,uniform,0.8156456971234789
26,hubspoke,hubspoke,0.584667040336486
27,fixed,fixed,1.242921568358519
