n,trial,method,cost,avg_shortest_path,robustness
30,16,RGG,18.830043792643355,0.555114944890988,1.0
30,16,Physarum,8.670405817388986,1.2864369741040784,0.9091954022988505
30,17,MST,4.020094176101588,0.8786095424334687,0.8735632183908045
30,17,kNN,9.981642784628983,0.7848584172543127,0.9724137931034483
30,17,RGG,16.52686888957967,0.7164066637429528,0.9758620689655172
30,17,Physarum,9.225828813568052,1.3477052970378405,0.9183908045977011
30,18,MST,3.2271370565749558,0.6782537724077236,0.8712643678160918
30,18,kNN,8.94751747641846,0.5916777643081298,0.9597701149425287
30,18,RGG,25.968737848572072,0.5319106607507126,0.9942528735632183
30,18,Physarum,6.962845211443353,1.200320945491989,0.896551724137931
30,19,MST,3.5720136793201664,0.8072203728188948,0.8655172413793103
30,19,kNN,9.240029060028801,0.6804417184955976,0.9517241379310344
30,19,RGG,18.01274541179195,0.5802448828299184,0.993103448275862
30,19,Physarum,6.2460958593029545,1.2595815011886105,0.8770114942528735
50,0,MST,4.950926051274988,1.0246064700775634,0.8673469387755103
50,0,kNN,11.481709084314497,0.9981127550495176,0.9628571428571427
50,0,RGG,46.448414118626644,0.55343133628191,1.0
50,0,Physarum,6.025324718516974,1.0602392451320601,0.8742857142857143
50,1,MST,4.8371767179253,0.9834271883670167,0.8673469387755101
50,1,kNN,11.74265161307676,0.794185877039893,0.9987755102040816
50,1,RGG,42.80334929511527,0.6847918467944007,0.9963265306122449
50,1,Physarum,5.865390329628272,1.1388235696275784,0.8771428571428569
50,2,MST,4.229197357045603,0.7815806951731293,0.8893877551020408
50,2,kNN,10.309417658191393,0.9044516177736869,0.9477551020408161
50,2,RGG,58.977332651148664,0.49498877403199837,0.999591836734694
50,2,Physarum,5.571726620066077,1.0687922457951506,0.8885714285714285
50,3,MST,4.569595328574167,0.8132922003340477,0.8979591836734694
50,3,kNN,11.351591846489516,0.7569312418504915,0.9538775510204082
50,3,RGG,52.57372651398783,0.5291297141818448,0.9991836734693877
50,3,Physarum,5.418835830923401,0.9464230734839518,0.8955102040816327
50,4,MST,4.866302730215104,0.8757404777088265,0.8963265306122449
50,4,kNN,11.507846790967486,0.7404609396417684,0.9844897959183673
50,4,RGG,50.93318564012321,0.5346227282059647,1.0
50,4,Physarum,6.717399125569605,1.0858953395634696,0.8983673469387754
50,5,MST,4.933941165169424,1.029857325131593,0.8702040816326531
50,5,kNN,11.757319973200046,0.8532360141615869,0.9775510204081632
50,5,RGG,43.78962799437376,0.5890336432998826,1.0
50,5,Physarum,5.551390052886789,1.1113811425579985,0.8689795918367347
50,6,MST,4.879452830546966,1.004967640532521,0.8751020408163264
50,6,kNN,11.563561493861554,0.992279187002307,0.9559183673469387
50,6,RGG,44.40586379970731,0.5465590474429726,1.0
50,6,Physarum,5.7849570444056395,1.3907676599869212,0.8444897959183674
50,7,MST,4.766388951766666,0.9519470332560731,0.8816326530612245
50,7,kNN,12.545246745111681,0.827593808881355,0.9640816326530611
50,7,RGG,49.524101294064664,0.5679322306780595,0.999591836734694
50,7,Physarum,5.551823293537766,1.0896035611849804,0.8746938775510206
50,8,MST,4.458871323850924,1.2121507697642637,0.8138775510204082
50,8,kNN,11.595492565647685,0.952431183397778,0.9465306122448979
50,8,RGG,51.893373175995045,0.5527374631205312,0.999591836734694
50,8,Physarum,6.370853319642603,1.413157300908623,0.8273469387755102
50,9,MST,5.165820875617582,1.085138741520995,0.8677551020408164
50,9,kNN,12.049937546314142,0.7368051559716716,0.9918367346938776
50,9,RGG,51.537963900504856,0.5543047764071005,1.0
50,9,Physarum,6.086735210705043,1.1766637369552833,0.8722448979591837
50,10,MST,4.7225483969892,1.2081088478106068,0.8375510204081631
50,10,kNN,11.3407953518327,0.9448480625138539,0.9685714285714286
50,10,RGG,51.72091593841986,0.5204678447678103,1.0
50,10,Physarum,5.6481481397688205,1.5149166786372061,0.8448979591836734
50,11,MST,4.621713267627271,1.0515438655367397,0.8583673469387755
50,11,kNN,11.164983437155067,1.2181453583344304,0.9444897959183673
50,11,RGG,47.569201709043874,0.5362163930482096,1.0
50,11,Physarum,5.855796835392565,1.0989655267617282,0.8910204081632653
50,12,MST,5.003417392899506,1.0405605270553815,0.8938775510204081
50,12,kNN,11.483742525502247,0.796063260430394,0.963265306122449
50,12,RGG,41.33376258367569,0.5680299891085692,1.0
50,12,Physarum,5.450244656278068,1.1719018500908998,0.8885714285714286
50,13,MST,5.14736312597577,0.9707344563259376,0.8914285714285713
50,13,kNN,12.508920277436397,1.0051502363523106,0.9689795918367348
50,13,RGG,47.260259111524825,0.5602286606113231,1.0
50,13,Physarum,6.110954923651423,1.0850530915703496,0.8951020408163265
50,14,MST,4.778928539882226,0.9861622141314977,0.8518367346938776
50,14,kNN,11.188776304039557,0.7777253080596621,0.9755102040816327
50,14,RGG,54.62053168613118,0.5122620833705933,1.0
50,14,Physarum,5.8483079041751544,0.9997944824959675,0.8706122448979592
50,15,MST,4.676345107434125,0.9325264263271467,0.8808163265306124
50,15,kNN,10.423915047265718,0.7871251796880699,0.9640816326530611
50,15,RGG,45.68329365706864,0.6031933289982928,0.9983673469387756
50,15,Physarum,5.204402841879823,1.0051181337870299,0.8816326530612247
50,16,MST,4.992606952303922,0.9659368290625614,0.8746938775510205
50,16,kNN,11.588015286740303,0.75303206632952,0.9959183673469388
50,16,RGG,47.917131710387274,0.5508591994976254,1.0
50,16,Physarum,5.804170819469218,1.0225553694580498,0.8759183673469387
50,17,MST,4.795855115520385,1.1288825340690818,0.8489795918367348
