trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
3,3,Physarum-k3,50,11.939777867849383,1.0684059589474788,0.9424489795918366,0.015476778170222501,3.707045356988958,11,0.6172789503707934,60,2.417094464023429
3,3,Union-k3,50,11.269188954788628,0.9052052334867005,0.9718367346938775,0.019109028150795664,3.8248315923217944,17,0.5117386261116124,66,2.281340116887774
3,5,Physarum-k5,50,18.694306901661356,0.9033594430702664,0.980408163265306,0.06467497708806111,4.246636259396032,36,0.6658195020746889,85,3.784484621144767
3,5,Union-k5,50,21.681408163223153,0.766394566204369,0.9922448979591836,0.12683538828415222,4.171452192293903,42,0.4575147670094073,91,4.389194859702909
3,10,Physarum-k10,50,24.31655914655665,0.6926370106143964,0.9934693877551021,0.2578394502261203,4.514911912796374,61,0.7154548551959117,110,4.922656112012501
3,10,Union-k10,50,40.78875112952776,0.6889471019897291,0.9959183673469388,0.16037709417508433,4.522664314101055,76,0.5016336194140281,125,8.257294703537832
4,0,MST,50,4.9287348010380265,1.4408807525669325,0.8138775510204082,0.005275590675957567,3.77911423264397,0,0.4652900041135337,49,1.0
4,0,kNN,50,11.17107851634867,1.2340112099291427,0.9444897959183673,0.01292753720737768,4.445734126255367,44,0.6274256280878803,93,2.266520510293222
4,1,Physarum-k1,50,8.919585159692012,1.3399659908971042,0.9118367346938776,0.014414025653422874,3.430890313322256,2,0.6020571707793794,51,1.8097109136027127
4,1,Union-k1,50,8.423760878240506,1.4198128080521952,0.9122448979591837,0.014400766994816589,3.4515690822884726,1,0.6087620206938529,50,1.7091122201313007
4,2,Physarum-k2,50,10.898554182616165,1.4406190532059848,0.8444897959183674,0.006326301622745391,3.7958376980397976,11,0.561637873754153,60,2.21122755079475
4,2,Union-k2,50,11.474427440827936,1.3371071585171117,0.8751020408163265,0.0071341810352611,3.905871962747151,18,0.5568665641551342,67,2.3280675272711653
4,3,Physarum-k3,50,10.064014425753054,1.1529686855510553,0.9146938775510205,0.010094526396807123,3.9060944949380527,14,0.5706496466833828,63,2.0419062562736183
4,3,Union-k3,50,12.385613942972853,0.9816326774770998,0.9812244897959185,0.02946758367976537,3.8622039211132746,17,0.5052199940137678,66,2.5129398198426816
4,5,Physarum-k5,50,15.100993379987838,0.8146662105720606,0.9787755102040818,0.07045929137964424,4.064094517593402,25,0.6601761252446181,74,3.0638681100893197
4,5,Union-k5,50,17.298235308849335,0.8638678197245253,0.989795918367347,0.07985586138600083,3.9647006898523998,27,0.4339505688505294,76,3.509670535571564
