trial,k_commodities,method,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
11,10,Physarum-k10,50,15.855271321561522,0.7022379923295402,0.9820408163265306,0.046987420019913455,4.343380253341733,42,0.567718529340151,91,3.352527355254951
11,10,Union-k10,50,30.84114762900516,0.6855533679052768,0.9938775510204081,0.15408695732482852,4.452992484393879,66,0.4579244278871739,115,6.521224960249569
12,0,MST,50,4.863565641125281,1.1051252523241528,0.8608163265306122,0.007904127015694727,3.773663493321714,0,0.48607803209253064,49,1.0
12,0,kNN,50,11.325648165004782,0.7344908555438481,0.9865306122448979,0.04214564841015085,4.408137690499638,43,0.6037318435754186,92,2.3286718018643566
12,1,Physarum-k1,50,8.709523433062262,1.4749958324780439,0.9273469387755101,0.02085420831491017,3.4229260685165683,1,0.548991693290735,50,1.7907691754823614
12,1,Union-k1,50,7.686240573076683,1.5979814527322302,0.9212244897959182,0.02045578240388683,3.415840345586477,0,0.5360552570990023,49,1.5803715093476811
12,2,Physarum-k2,50,5.100215855715018,1.0917615485522387,0.8661224489795917,0.008278868113902773,3.7893885984984723,1,0.5169723832253665,50,1.0486577610033003
12,2,Union-k2,50,5.2154173395121175,1.091126952516638,0.8661224489795917,0.00828228331235374,3.8117462048688715,2,0.5165373795925323,51,1.0723443918206126
12,3,Physarum-k3,50,5.6844650466936795,0.9870811218616107,0.9053061224489796,0.011034169127749316,3.717764806483389,1,0.573125138427464,50,1.168785509673612
12,3,Union-k3,50,5.921301806978339,1.0001526964468708,0.9257142857142857,0.010694336118063441,3.7642319136412934,3,0.4833411949685533,52,1.2174816264242565
12,5,Physarum-k5,50,12.86657528687107,0.7876493218919557,0.9746938775510203,0.06834299952734232,3.9681476840616825,20,0.6446112237998647,69,2.6455025461307717
12,5,Union-k5,50,17.895595026542306,0.7511356592396594,0.9844897959183673,0.09324738810531223,3.994235896991334,29,0.5245621621621621,78,3.6795216405060813
12,10,Physarum-k10,50,24.9960595865316,0.6414886950712521,0.9963265306122449,0.2942346491100198,4.6032382796046045,67,0.6686464370951246,116,5.139451470577515
12,10,Union-k10,50,31.799469557613353,0.6703401502434131,0.9975510204081632,0.20926491489654256,4.457472827225315,65,0.44982241953385094,114,6.5383037680675615
13,0,MST,50,4.932265421244845,0.96999050192167,0.8885714285714286,0.011754429769598633,3.740589705521948,0,0.5379011616459928,49,1.0
13,0,kNN,50,12.87803305693336,0.7710690793193428,0.9938775510204081,0.038192874994446416,4.476628559323738,51,0.6609435364041605,100,2.610977300909953
13,1,Physarum-k1,50,10.347531242663834,1.4987915571465396,0.9081632653061225,0.012737968062044336,3.4406006969753267,2,0.5800228310502284,51,2.09792668458062
13,1,Union-k1,50,9.255049135889811,1.7204230858681022,0.9044897959183673,0.012380825825167465,3.485365414225642,1,0.5767525886759197,50,1.8764296617179914
13,2,Physarum-k2,50,8.164159318675843,1.0354546008172392,0.9159183673469389,0.014625690387902334,3.6934675464851665,6,0.6129388264669162,55,1.6552554701355275
13,2,Union-k2,50,7.554448639260648,0.7852446241787676,0.98,0.033112902661804965,3.766524420791636,8,0.5484271725826191,57,1.5316387083957852
13,3,Physarum-k3,50,13.111933977677761,1.081614368206331,0.9375510204081633,0.02030556337607802,3.8271765336916044,13,0.6494664800124434,62,2.65839991521958
13,3,Union-k3,50,14.660774416896333,0.9316619487864893,0.9334693877551021,0.019522935296968982,3.897735718698644,22,0.5586800000000005,71,2.972422034253811
13,5,Physarum-k5,50,11.556003158107721,0.7646886986140867,0.9714285714285714,0.0700260692865903,3.973445408027851,18,0.6130329812459583,67,2.3429402457402877
13,5,Union-k5,50,10.730546565232133,0.7804868400553323,0.9763265306122448,0.030176869178248168,3.9002596676504235,19,0.5656570018507094,68,2.175581735527094
13,10,Physarum-k10,50,24.22050469137315,0.7200230799128388,0.9955102040816327,0.21700237667912503,4.504347029545719,58,0.7192399565689469,107,4.9106247581583276
13,10,Union-k10,50,42.24871255139187,0.6726750952299039,0.9987755102040816,0.22974208720710723,4.596930335419742,84,0.5737081919534659,133,8.56578244338051
14,0,MST,50,4.8484505274440775,1.0193491463403794,0.8734693877551021,0.008881687431670606,3.770032131158417,0,0.5659071650503718,49,1.0
14,0,kNN,50,11.63883312824739,0.7072838166537938,0.9971428571428572,0.05873883783591167,4.472050570943748,48,0.48533682634730546,97,2.4005263253419127
14,1,Physarum-k1,50,8.644330690932142,1.5658478039071106,0.9293877551020409,0.022041072269589075,3.5200433085905627,0,0.6650269622528462,49,1.7829058256863581
14,1,Union-k1,50,7.290231119723125,1.2480542706753373,0.8783673469387755,0.008516755606325418,3.6434363585444447,0,0.6303051809794178,49,1.5036208121455792
14,2,Physarum-k2,50,9.502274702474395,0.9426216097630802,0.9448979591836735,0.024940417508432,3.750727142279652,9,0.6400000000000003,58,1.9598580306611153
14,2,Union-k2,50,12.520591090652221,0.7745065739432073,0.9775510204081634,0.03240496160794607,3.9351825903323503,21,0.5386655764513486,70,2.5823901924503314
14,3,Physarum-k3,50,8.319945631565433,0.9717788915064731,0.9465306122448979,0.027614559933530368,3.6950202010654056,8,0.5671171034691711,57,1.7160009335913342
14,3,Union-k3,50,11.164024799128835,0.8481546242641824,0.9746938775510204,0.028486459069349688,3.722720527589245,14,0.492808651246621,63,2.3025964142433137
