n,trial,variant,alpha,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
20,29,Adaptive,1.0,13.347962592226832,0.5608766439395441,0.9947368421052631,0.5596602544393394,3.896778155606498,37,0.7057017543859652,56,4.869835923703645
50,0,Uniform,0.0,7.646763844906762,1.5120473642301568,0.900408163265306,0.01156541368181969,3.4480021577342397,1,0.5952601922439509,50,1.544511827830175
50,0,Adaptive,1.0,51.30796425827451,0.550808043800474,1.0,0.8920106070947879,5.436874622100757,202,0.6049950641658444,251,10.363306526273286
50,1,Uniform,0.0,6.946704742378035,1.4240326852806833,0.8885714285714283,0.010910100983421475,3.615704008670353,0,0.5886834675311095,49,1.4361072889140851
50,1,Adaptive,1.0,53.863559234519364,0.6112748884894753,1.0,0.5343413830612948,5.480612264252341,214,0.5342105263157897,263,11.135330043848766
50,2,Uniform,0.0,6.834574710677708,1.5821913139836872,0.8873469387755101,0.010611987902212005,3.5074195439655487,0,0.5549624654286842,49,1.6160453470660796
50,2,Adaptive,1.0,41.580532226683594,0.505391393579153,0.9987755102040816,0.3432981347737442,5.348042352908984,188,0.572677127912506,237,9.831778637006094
50,3,Uniform,0.0,9.466173236822758,1.0241273961318251,0.9187755102040814,0.017794252756329725,3.4341582329635783,3,0.618794591113973,52,2.0715561348791147
50,3,Adaptive,1.0,50.19779990528846,0.5219361037760657,0.9987755102040816,0.3207166455519713,5.460089824820013,208,0.5014155712841253,257,10.985174024359722
50,4,Uniform,0.0,10.043238231723043,1.4500063165985706,0.909795918367347,0.013179926204735676,3.415998108558098,2,0.6167363516903597,51,2.063833425192416
50,4,Adaptive,1.0,48.43736595042825,0.5382717606004597,1.0,0.722100069699143,5.426138348717769,201,0.5147264662395268,250,9.953627761314223
50,5,Uniform,0.0,8.38874642587144,1.3787943307196937,0.909795918367347,0.012962145437537825,3.39077195839829,1,0.6143147928994079,50,1.700212091115072
50,5,Adaptive,1.0,49.801315505578316,0.5893010444610693,1.0,0.5417451561192659,5.406479765415712,196,0.5679564032697546,245,10.093617625022535
50,6,Uniform,0.0,10.810787935168886,1.4412282682877462,0.9008163265306124,0.012245323969563314,3.4504647307530445,4,0.5554441475146978,53,2.2155738175169617
50,6,Adaptive,1.0,45.52665279314672,0.5465029675801222,1.0,0.9434800849969122,5.362454693807281,189,0.6009865470852014,238,9.330278286150246
50,7,Uniform,0.0,6.7445220481056065,1.240249327436162,0.8889795918367348,0.009855089766142326,3.632043273782468,0,0.6319289991445678,49,1.4150171369471942
50,7,Adaptive,1.0,55.77334642694076,0.5622291931795304,0.9987755102040817,0.36829461143841913,5.519091130306606,227,0.6108896034297961,276,11.701383792077715
50,8,Uniform,0.0,7.9279106978933624,1.3979240269630007,0.9040816326530613,0.013955473176725715,3.4728054549979697,1,0.5550887061877974,50,1.7780084066311173
50,8,Adaptive,1.0,49.69727854905157,0.5524005057823426,0.9987755102040816,0.33547332891838655,5.5014995739747246,220,0.6744096871846619,269,11.14570817130697
50,9,Uniform,0.0,8.684785405880996,1.3667898891059977,0.9151020408163265,0.013369854563050376,3.4037410696097914,1,0.627177419354839,50,1.681201422773436
50,9,Adaptive,1.0,56.723209067190886,0.5472024499008359,1.0,1.085293842198405,5.550943003160864,232,0.6048636616583194,281,10.980483147397079
50,10,Uniform,0.0,8.729963456592902,1.3518804266014581,0.9208163265306122,0.019357100304085346,3.38905888417935,2,0.5525226771267469,51,1.8485704587291423
50,10,Adaptive,1.0,49.81313905031677,0.5128916299515242,1.0,0.9461551796912437,5.472683988887347,212,0.5341433021806854,261,10.547936169817655
50,11,Uniform,0.0,9.684786693027515,1.1828383230858464,0.92,0.01346383800353338,3.463039658524305,3,0.6141972121837891,52,2.0954970878147017
50,11,Adaptive,1.0,49.73523105319551,0.5347853634108629,0.999591836734694,0.6610934744628695,5.464352178414623,212,0.5980638722554892,261,10.761210869909492
50,12,Uniform,0.0,7.088440450733433,1.4293966379097705,0.9040816326530612,0.012524915499583376,3.6042764257519866,0,0.6195296829971182,49,1.4167197925147808
50,12,Adaptive,1.0,46.30823031266095,0.5632259867476499,0.999591836734694,0.48399369222241745,5.348561044834948,184,0.5731454965357967,233,9.255320249391607
50,13,Uniform,0.0,8.185276349547461,1.5187174421832086,0.9159183673469389,0.013766485096856703,3.579467256533589,1,0.6563699136868062,50,1.5901882476954263
50,13,Adaptive,1.0,50.788541228639126,0.555447875957529,1.0,0.968777823558655,5.440270977390028,201,0.5929262086513993,250,9.866904662765812
50,14,Uniform,0.0,10.89643658407008,1.6736456069127876,0.899591836734694,0.011079664607810253,3.47029082585233,4,0.6191013215859031,53,2.2801003390476766
50,14,Adaptive,1.0,47.04069208011271,0.5172490419505557,1.0,0.7622893824123743,5.4615555390254755,206,0.6236635514018689,255,9.84335540645519
50,15,Uniform,0.0,12.947201120699235,1.7023509229765912,0.9024489795918369,0.01035527076951843,3.3070315254076417,3,0.6214657317349017,52,2.768658177112866
