trial,mu,n,iteration,n_surviving_edges,conductivity_entropy
10,0.5,50,200,194,5.130664525289632
10,0.5,50,300,194,5.130663640371537
10,0.5,50,500,194,5.130663635106718
10,1.0,50,10,1225,7.091405041525885
10,1.0,50,25,782,6.64250539711759
10,1.0,50,50,10,1.9985479699977051
10,1.0,50,100,9,1.9319053755744187
10,1.0,50,150,9,1.9267983875235735
10,1.0,50,200,10,2.019093240585619
10,1.0,50,300,9,1.930492338395013
10,1.0,50,500,10,2.0446882559687674
10,2.0,50,10,1225,7.091671620919213
10,2.0,50,25,736,6.593552663133195
10,2.0,50,50,1,-1.110223024625156e-15
10,2.0,50,100,4,1.3094255810769484
10,2.0,50,150,7,1.9459065131665956
10,2.0,50,200,7,1.9459101489391002
10,2.0,50,300,7,1.9459101490553063
10,2.0,50,500,7,1.9459101490553063
11,0.5,50,10,1225,7.091061295337493
11,0.5,50,25,1180,7.013770055046178
11,0.5,50,50,166,4.974254354507857
11,0.5,50,100,136,4.787338047134335
11,0.5,50,150,138,4.800203907930811
11,0.5,50,200,138,4.800218058594017
11,0.5,50,300,138,4.800219241998121
11,0.5,50,500,138,4.800219249048666
11,1.0,50,10,1225,7.092318733347858
11,1.0,50,25,817,6.693682275120899
11,1.0,50,50,10,2.247401875863112
11,1.0,50,100,10,2.2548326122708233
11,1.0,50,150,9,2.1347816333220275
11,1.0,50,200,9,2.115370426542585
11,1.0,50,300,10,2.230508907762664
11,1.0,50,500,12,2.4623183596902827
11,2.0,50,10,1225,7.092495175020952
11,2.0,50,25,778,6.651454966314869
11,2.0,50,50,0,-0.0
11,2.0,50,100,4,1.3279255772171044
11,2.0,50,150,8,2.079338024315345
11,2.0,50,200,8,2.0794415343926866
11,2.0,50,300,8,2.0794415416798278
11,2.0,50,500,8,2.079441541679828
12,0.5,50,10,1225,7.09095062534379
12,0.5,50,25,1183,7.012710775711316
12,0.5,50,50,192,5.135019668837311
12,0.5,50,100,175,5.0437773777996435
12,0.5,50,150,176,5.0489939519841105
12,0.5,50,200,176,5.049002689998746
12,0.5,50,300,176,5.049003426275631
12,0.5,50,500,176,5.049003430664603
12,1.0,50,10,1225,7.092540381762945
12,1.0,50,25,800,6.669604960129548
12,1.0,50,50,9,1.9505009534632296
12,1.0,50,100,8,1.8548978371415537
12,1.0,50,150,7,1.764997782900991
12,1.0,50,200,7,1.7870148260421768
12,1.0,50,300,8,1.9225714210643665
12,1.0,50,500,10,2.150537027342733
12,2.0,50,10,1225,7.092707090811293
12,2.0,50,25,752,6.617350392812255
12,2.0,50,50,1,-1.110223024625156e-15
12,2.0,50,100,4,1.2008915049179372
12,2.0,50,150,6,1.791751366970101
12,2.0,50,200,6,1.7917594689658198
12,2.0,50,300,6,1.791759469228049
12,2.0,50,500,6,1.791759469228049
13,0.5,50,10,1225,7.089988300692182
13,0.5,50,25,1199,7.0265273741699765
13,0.5,50,50,187,5.09801455951547
13,0.5,50,100,164,4.96913598169086
13,0.5,50,150,167,4.985685852404219
13,0.5,50,200,167,4.985695164757621
13,0.5,50,300,167,4.985695950312067
13,0.5,50,500,167,4.985695954995197
13,1.0,50,10,1225,7.091521014447037
13,1.0,50,25,784,6.651350264449199
13,1.0,50,50,8,1.9655103542801307
13,1.0,50,100,9,2.0854643502227566
13,1.0,50,150,9,2.0848592891394584
13,1.0,50,200,8,1.9901932089967624
13,1.0,50,300,9,2.0890937180717986
13,1.0,50,500,11,2.269760965708355
13,2.0,50,10,1225,7.091764088934336
13,2.0,50,25,723,6.578134989434593
13,2.0,50,50,0,-0.0
13,2.0,50,100,3,1.0856963743385073
13,2.0,50,150,7,1.9458771256470224
13,2.0,50,200,7,1.9459101479606746
13,2.0,50,300,7,1.9459101490553061
13,2.0,50,500,7,1.9459101490553061
14,0.5,50,10,1225,7.091848862837611
14,0.5,50,25,1216,7.051006263879419
14,0.5,50,50,213,5.204104607298546
14,0.5,50,100,171,4.979921234528724
14,0.5,50,150,171,4.979729242875426
14,0.5,50,200,171,4.9797182399027085
14,0.5,50,300,171,4.979717347327514
14,0.5,50,500,171,4.979717342018409
14,1.0,50,10,1225,7.092419453648562
14,1.0,50,25,823,6.699654143795649
14,1.0,50,50,14,2.5343458408620494
14,1.0,50,100,14,2.58422431678125
14,1.0,50,150,13,2.5225320862817817
14,1.0,50,200,12,2.440703052779232
14,1.0,50,300,12,2.425616479183601
14,1.0,50,500,12,2.394115758685287
14,2.0,50,10,1225,7.09248036101838
14,2.0,50,25,762,6.6302259909568875
14,2.0,50,50,2,0.6898932375097613
14,2.0,50,100,4,1.340697564450906
14,2.0,50,150,7,1.9458800380735386
14,2.0,50,200,7,1.9459101482177594
14,2.0,50,300,7,1.9459101490553063
14,2.0,50,500,7,1.9459101490553063
