trial,lambda,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
7,0.25,20,6.2601690174580344,0.7244086533939426,0.9815789473684211,0.20262182473342977,3.1125262995411744,7,0.4360869565217391,26,1.8834303834905293
7,0.5,20,6.616297583779497,0.666188886934709,1.0,0.28218737911137115,3.2065815492041128,9,0.4009569377990432,28,1.9905749925846656
7,0.75,20,6.840637586519048,0.6047478308399477,1.0,0.3492599257817266,3.314277739411873,12,0.48249999999999993,31,2.0580697800598426
7,0.9,20,6.775254113413538,0.5752728392624317,1.0,0.3761660834717367,3.31623734148657,12,0.39293193717277464,31,2.0383985508196045
7,1.0,20,6.965231230179044,0.5729189954458034,1.0,0.3020858300180262,3.3166765546017456,12,0.4382640586797062,31,2.0955549427454847
8,0.0,20,8.9541475754214,0.9138258250005854,0.9,0.06226282941702157,2.848558223594568,7,0.586111111111111,26,3.1414693535818454
8,0.1,20,6.326070870345458,1.02151432589914,0.9368421052631579,0.13151617893309323,2.849393404343385,4,0.5837278106508879,23,2.2194360323396634
8,0.25,20,6.839026425171005,0.7566988843735404,0.9894736842105264,0.17575204573193304,3.12369240891528,9,0.4104215456674474,28,2.399401142548179
8,0.5,20,6.833487538545541,0.6690358845488145,0.9973684210526315,0.2554773566648486,3.1401006236343907,10,0.32225000000000015,29,2.397457881903847
8,0.75,20,6.613769742329704,0.5860233224024438,1.0,0.33930237581843453,3.2103091690297823,11,0.4038653366583542,30,2.3203721830771658
8,0.9,20,5.9781849488951,0.5957608991751738,1.0,0.3314320056860241,3.138507180722989,9,0.356474820143885,28,2.0973838825874354
8,1.0,20,6.577300015318517,0.5853068149532263,1.0,0.3735336439062451,3.220763675864619,11,0.3899999999999997,30,2.307577159455529
9,0.0,20,9.759375137150071,0.9039628139484823,0.8947368421052632,0.05890890609559392,2.9532130521248487,8,0.5551359516616312,27,3.1947261567997067
9,0.1,20,8.791221741129688,0.9838322703653317,0.9605263157894737,0.15516812679817885,3.0800653690933077,8,0.6137850467289723,27,2.877801667824279
9,0.25,20,7.362134490002173,0.705846059463619,0.9973684210526315,0.2788558211342381,3.1525803617096875,10,0.45802005012531355,29,2.4099907314307334
9,0.5,20,6.069457905993866,0.6210531780861197,0.9973684210526315,0.30036033055988204,3.093547431798843,9,0.39323725055432357,28,1.9868337529174755
9,0.75,20,6.52793363856189,0.5610923940919498,0.9973684210526315,0.34869005402616005,3.17808441302523,11,0.42536231884057973,30,2.136915535255919
9,0.9,20,6.5220217918142795,0.5239370049676113,0.9973684210526315,0.37624205555532575,3.2308926459904312,12,0.4540404040404038,31,2.1349802954301964
9,1.0,20,7.1913264967076955,0.5058409476107257,1.0,0.5411013214238485,3.33876358370604,15,0.46936416184971064,34,2.3540768274871158
10,0.0,20,9.576977452031167,0.8682765975042459,0.9394736842105263,0.14374260616066084,2.9386569902311437,8,0.6265258215962444,27,3.7441483725252254
10,0.1,20,6.021706995175483,0.7354434632538916,0.9736842105263157,0.14017111645468996,3.165143417748607,8,0.5151376146788988,27,2.3542046077416905
10,0.25,20,6.828782889822131,0.6088571641310216,0.9973684210526315,0.38428945848838125,3.294030012475105,12,0.42953890489913515,31,2.669733375829653
10,0.5,20,5.884320664718245,0.5200867602901899,1.0,0.4135356270183872,3.275245692095416,11,0.367204301075269,30,2.3004930052903783
10,0.75,20,5.538152866965758,0.4991889174530471,1.0,0.36314130744445133,3.2817059260166337,11,0.42323232323232296,30,2.165157655168955
10,0.9,20,5.712347352394957,0.4859689944905649,1.0,0.3495715340425397,3.317449011873635,12,0.43644501278772396,31,2.2332595174098726
10,1.0,20,5.507271155675383,0.4876962014696723,0.9973684210526315,0.265970031733205,3.3268602607601223,12,0.4537878787878784,31,2.153084356505802
11,0.0,20,6.725403078779747,1.078001212356809,0.8605263157894736,0.04393725423847948,2.709099117694101,3,0.5762463343108504,22,2.10101770029371
11,0.1,20,7.102987961846883,1.2407756860096453,0.8605263157894736,0.04312620601042459,2.774495101084487,4,0.5315232722143861,23,2.218975317613402
11,0.25,20,7.539638922015332,0.7632440306201921,0.9947368421052631,0.1531047096946861,3.0701548975591737,8,0.4283261802575107,27,2.3553851930391305
11,0.5,20,7.230441036026869,0.719549205669229,0.9973684210526315,0.17449585645132287,3.136143541734049,9,0.3731651376146785,28,2.2587916916912496
11,0.75,20,6.668700165363347,0.680015732252985,1.0,0.23091135525770418,3.2443867498209156,11,0.35513447432762857,30,2.083303695147762
11,0.9,20,6.072569028553361,0.6671594136891132,1.0,0.24802302559864975,3.220139806676353,10,0.40317647058823525,29,1.8970721703658688
11,1.0,20,6.08583123496476,0.6610650419664469,1.0,0.24851170880946283,3.219863465264833,10,0.3942437923250566,29,1.9012152871558818
12,0.0,20,9.975938277171794,1.2208438187866602,0.8789473684210527,0.051985875875231465,2.9871962623757446,7,0.46690962099125355,26,2.897303888755864
12,0.1,20,7.14001727978094,1.0921760441749297,0.9394736842105263,0.10590718874984023,3.0538900311186703,6,0.5331417624521071,25,2.073669589338934
12,0.25,20,8.087420575088428,0.8362779126382813,0.9973684210526315,0.29364304875316166,3.1809249571254483,9,0.40246753246753264,28,2.348823181457258
12,0.5,20,7.124748133281329,0.7940471767215078,0.9973684210526315,0.3048351401505194,3.150033088764959,8,0.28867276887871807,27,2.0692349831593284
12,0.75,20,6.6510577588895465,0.6984068654841008,0.9973684210526315,0.33967201060528435,3.21827601411102,9,0.43668280871670695,28,1.93166146118475
12,0.9,20,6.885593400634844,0.6653766328007653,0.9973684210526315,0.37452012172820665,3.257487886133353,10,0.4076923076923076,29,1.9997774627076812
12,1.0,20,7.225424239690419,0.6636268076602039,0.9973684210526315,0.37452830372484663,3.293963184589961,11,0.4072916666666664,30,2.098474265370139
13,0.0,20,5.447168129132223,1.1759228087143627,0.8657894736842107,0.050242854728570575,2.7136369663827926,2,0.541230551626591,21,1.7602930143625646
13,0.1,20,6.44185767942034,1.0646173822917233,0.8921052631578947,0.06503718654353513,2.809912029079589,4,0.5276167471819644,23,2.0817343624765163
13,0.25,20,6.241871217437049,0.8533885049980823,0.9710526315789473,0.17787018373649843,3.0322988740441557,6,0.4796146044624745,25,2.017107245477219
13,0.5,20,6.4574941629323686,0.6679672363646881,0.9973684210526315,0.24668393021796403,3.1668097176141177,9,0.34684684684684663,28,2.086787408764589
13,0.75,20,4.959019759289205,0.684483060481673,0.9973684210526315,0.21645489992919204,3.061131228432741,6,0.29407114624505915,25,1.602544227279683
13,0.9,20,4.5848557859741925,0.6872863757089598,0.9973684210526315,0.2156913083016098,3.021597859969166,5,0.24961904761904763,24,1.4816303482073505
13,1.0,20,6.0827134692341325,0.6330680580734005,1.0,0.27480515437181086,3.176050670908302,9,0.32201834862385326,28,1.96567423189996
14,0.0,20,8.214585529437645,1.2227573075072447,0.8947368421052632,0.060000149798400335,2.792315540732381,4,0.5057446808510639,23,2.6474666332153354
14,0.1,20,8.890683244910505,1.1920883122905226,0.9184210526315789,0.07346004962115284,3.000657662297597,7,0.5899999999999996,26,2.8653651669993097
14,0.25,20,8.323081752739528,0.8326204230648165,0.9578947368421054,0.08299278641213137,3.1137455395202487,9,0.4215909090909089,28,2.6824337207199047
14,0.5,20,6.3662847784854835,0.7541745182468542,0.9973684210526315,0.17302804035138947,3.0210709329105994,6,0.28319672131147544,25,2.0517805150591486
14,0.75,20,6.742471145349928,0.641407169101632,1.0,0.23274397282933912,3.1214562955164094,9,0.44999999999999996,28,2.1730210634197547
14,0.9,20,6.788787557293969,0.6202318318868137,1.0,0.25499262845522197,3.205439853358729,11,0.3928240740740738,30,2.1879483113926055
14,1.0,20,7.477930801550126,0.5910523736892824,1.0,0.3295764159469605,3.318694946784784,14,0.44115281501340475,33,2.4100512693733522
15,0.0,20,6.861421099116358,0.9620517255307989,0.8894736842105262,0.06064271861666563,2.717485014873297,4,0.5016431924882627,23,2.601292004424745
15,0.1,20,6.935801981117511,0.9974541746016332,0.9184210526315788,0.07264150961528767,2.912387703180804,5,0.5470588235294118,24,2.629491176409187
15,0.25,20,7.027502176881503,0.7188775579570851,0.9868421052631579,0.21024228753180096,3.053603063785139,8,0.41090909090909067,27,2.6642564214800335
15,0.5,20,6.062682896657817,0.6033295360108585,0.9894736842105262,0.21246958280945344,3.1156572780571836,9,0.45649651972157756,28,2.29847553686359
15,0.75,20,5.5825597801222555,0.5926668955097607,0.9921052631578947,0.17214325347830356,3.198429155221443,10,0.49319248826291084,29,2.1164519580536125
15,0.9,20,5.345920244657919,0.5842711835517802,0.9973684210526315,0.19328865459684802,3.1569867044138933,9,0.4917431192660551,28,2.026737520965144
15,1.0,20,5.92042106875592,0.5701415856940372,0.9973684210526315,0.19434676290259278,3.188032386227033,10,0.4792452830188678,29,2.2445414392312917
