trial,mu,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
16,1.5,50,5.363071012783568,1.0726198235855686,0.8787755102040816,0.00901335906056462,3.724926502117887,0,0.5521805633277372,49,1.1112201879711099
16,2.0,50,5.363071012783568,1.0726198235855686,0.8787755102040816,0.009013359060563874,3.724926502117887,0,0.5521805633277372,49,1.1112201879711099
16,3.0,50,5.11205981890244,1.0098883514332606,0.8877551020408164,0.010360571915341033,3.7573191926444616,0,0.5661967576276303,49,1.0592110489195148
17,0.25,50,566.0887907586508,0.4813316047091549,1.0,41.14295252271683,6.955636069881848,1138,0.819,1187,121.55459307228722
17,0.5,50,89.810731161871,0.9607220247366858,1.0,2.000000000000063,4.933756511655494,105,0.951652661064426,154,19.284796056949634
17,0.75,50,9.678731395437982,1.3274916365762484,0.9240816326530612,0.01652522985216203,3.5953123179921125,0,0.7292375366568917,49,2.0782857308510585
17,1.0,50,8.435939287241844,1.632357730294598,0.9142857142857141,0.013832494685334481,3.4951347500677468,0,0.6641740900992619,49,1.8114246103848202
17,1.25,50,5.3686392477715,1.022555355436238,0.8963265306122449,0.011418764888194887,3.62450957809318,0,0.5786795792981358,49,1.1527922293607122
17,1.5,50,5.034297952628178,0.8248965535821929,0.9085714285714285,0.014782381264318698,3.724678459069935,0,0.6112122641509434,49,1.08100009932411
17,2.0,50,4.897421834943579,0.8038529131529698,0.9089795918367345,0.014786385253855746,3.7439561829691432,0,0.6165611288983752,49,1.05160909024907
17,3.0,50,4.767820154463386,0.771344036488822,0.9163265306122449,0.019354908347914066,3.7475954118590344,0,0.6277249080065985,49,1.023780099833729
18,0.25,50,679.9826499354806,0.5584276266173794,1.0,47.00000000000012,6.980934253663383,1167,0.882222222222222,1216,140.57151599692008
18,0.5,50,178.55512373912433,0.933267326782354,1.0,2.0000000000001394,5.505485978503575,230,0.9040591966173361,279,36.912360095375846
18,0.75,50,7.300850238576584,1.1762414277097517,0.8914285714285713,0.010100145278926219,3.796965607779093,5,0.6501921598770173,54,1.5092908417598074
18,1.0,50,5.971140091706125,1.1786930008476244,0.8869387755102041,0.01004250266795662,3.713892574504282,0,0.6108409067168075,49,1.2344023998270561
18,1.25,50,5.874689266149511,1.3523089365108187,0.8567346938775511,0.007601270774268242,3.4794528348393063,0,0.49422930657820197,49,1.2144633046620044
18,1.5,50,5.5444853660047535,0.9969488235779926,0.9220408163265306,0.01728122385926111,3.642533818841401,0,0.5994547837483619,49,1.146200882325422
18,2.0,50,5.361571632269585,0.998428142263475,0.913469387755102,0.015612454743810589,3.6632653468116945,0,0.585764234551414,49,1.108387475100621
18,3.0,50,5.219892943507395,0.9066668364212073,0.9220408163265306,0.020313661643529362,3.714987601053486,0,0.5820630372492839,49,1.0790985100576944
19,0.25,50,610.3110113820532,0.5044623452701322,1.0,45.00000000000013,6.981603519719247,1162,0.9114285714285713,1211,128.0009854850702
