trial,mu,demand,n,cost,efficiency,robustness,algebraic_connectivity,network_entropy,cyclomatic_number,betweenness_gini,num_edges,steiner_ratio
7,1.25,fixed,50,5.743556962317398,1.4760062345793428,0.8587755102040816,0.007285856773681432,3.4334245528723706,0,0.5350903614457831,49,1.205012226328811
7,1.25,uniform,50,6.567649181516342,0.6757255521358351,0.99265306122449,0.05950113620673942,3.843928979530821,8,0.43795323619112136,57,1.3779087791570255
7,1.5,fixed,50,5.308384388961818,0.9986243603323488,0.9032653061224489,0.012879983132153142,3.624113985179547,0,0.5913369223867202,49,1.1137119615457023
7,1.5,uniform,50,5.257557884008326,0.7782339919344454,0.9787755102040818,0.029412657384438896,3.7467288064274182,2,0.5385258910558168,51,1.1030484371317637
7,2.0,fixed,50,5.231423751222524,0.9860062045765929,0.9057142857142857,0.01300392497380453,3.6316667012606265,0,0.6001424632352943,49,1.0975654324818565
7,2.0,uniform,50,4.818714433687244,1.1745868818460996,0.8604081632653062,0.007506797789672621,3.7118319639067985,0,0.567914250571077,49,1.0109780134290516
8,0.5,fixed,50,67.20892790623199,0.9366577279157607,1.0,2.000000000000299,4.596649087848314,70,0.9590802524797113,119,15.073080837010274
8,0.5,uniform,50,9.810479258656468,0.9343457052057732,0.9461224489795919,0.017140814069978583,4.352741406395019,39,0.6541480026195157,88,2.2002158273057324
8,0.75,fixed,50,9.773236071697648,1.4345770931956348,0.8926530612244897,0.008881456123113094,3.7001612423989236,0,0.6829561304836893,49,2.191863223192758
8,0.75,uniform,50,4.458871323850924,1.2121507697642635,0.8138775510204082,0.005236514535388505,3.7495595021055914,0,0.45509229098805637,49,1.0
8,1.0,fixed,50,9.917213838927141,1.406243179251457,0.9081632653061225,0.014822651103520932,3.375689089375653,4,0.5517969451931719,53,2.2241534053425194
8,1.0,uniform,50,8.089998061787895,0.6480114217950812,0.9955102040816327,0.08055029619106051,4.01396023937635,18,0.4096776491540517,67,1.8143600642866125
8,1.25,fixed,50,5.4299909056255595,1.2685773328576695,0.8106122448979594,0.005130807171335772,3.4455581100820245,0,0.4463417890520698,49,1.2177949331213092
8,1.25,uniform,50,5.256491416447086,0.737793649210209,0.9848979591836735,0.032664312454992045,3.8167904097196454,4,0.46102902374670185,53,1.1788838552773695
8,1.5,fixed,50,4.985440738194291,1.1566264896595213,0.8710204081632652,0.008760271043747991,3.666984988266249,0,0.5172791612057668,49,1.1180947769285687
8,1.5,uniform,50,4.968402867286328,0.7810474603329667,0.9853061224489796,0.02606099819197083,3.7721434016016837,2,0.43907541442913844,51,1.1142736595043394
8,2.0,fixed,50,4.922722494481057,1.1007812546581592,0.8746938775510203,0.008669833039972317,3.638676546684231,0,0.5387055722207073,49,1.1040288308274224
8,2.0,uniform,50,4.495768971411229,1.1640554292632526,0.8244897959183674,0.005605621392282726,3.7456973239880518,0,0.4837868805499854,49,1.00827510930018
9,0.5,fixed,50,118.68957501828551,0.9062920008693319,1.0,2.000000000000035,5.133490923578531,152,0.9369140625000003,201,22.975937005190097
9,0.5,uniform,50,10.058028840921333,0.9228797762258945,0.9457142857142858,0.018259534363445407,4.326401558654456,36,0.6652337565347277,85,1.9470339919052806
9,0.75,fixed,50,8.717388024476778,1.2546536584938957,0.8942857142857144,0.009569841403144182,3.6751358699058003,1,0.6950603397773873,50,1.6875126401734941
9,0.75,uniform,50,5.165820875617582,1.085138741520995,0.8677551020408164,0.008038066114956652,3.7481369522673424,0,0.5594860775360373,49,1.0
9,1.0,fixed,50,9.840017682850652,1.3630498642109785,0.9159183673469387,0.01337666439634942,3.365852330497108,2,0.6267493043258283,51,1.9048313752602315
9,1.0,uniform,50,9.017724451655663,0.6824058633376555,0.9918367346938776,0.06975293778649402,4.115756198122791,21,0.41080014614541494,70,1.7456517887058134
9,1.25,fixed,50,6.001081068248686,1.1642046498313696,0.9016326530612245,0.013337890954785698,3.5865957120048577,0,0.5884903771276004,49,1.1616897319404724
9,1.25,uniform,50,6.6771704688914735,0.7184680118993887,0.9934693877551021,0.06055025686635373,3.8780450794860357,7,0.4514285714285713,56,1.292567169800135
9,1.5,fixed,50,6.001081068248686,1.1642046498313696,0.9016326530612245,0.013337890954783152,3.5865957120048577,0,0.5884903771276004,49,1.1616897319404724
9,1.5,uniform,50,5.597276217424114,0.8078469443652673,0.9861224489795917,0.026046385205332968,3.7880367788446065,2,0.49783770349198453,51,1.0835211580492425
